127.0.0.1 - - [16/May/2025:10:05:44 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [16/May/2025:10:05:45 +0530] "GET /Echanneling/viewAvailability.jsp HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [16/May/2025:10:05:51 +0530] "GET /Echanneling/GetDoctorServlet?view=profiles HTTP/1.1" 200 17795
0:0:0:0:0:0:0:1 - - [16/May/2025:10:05:51 +0530] "GET /Echanneling/uploads/doctor12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2025:10:05:51 +0530] "GET /Echanneling/uploads/doctor23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2025:10:05:51 +0530] "GET /Echanneling/css/DoctorProfiles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2025:10:05:51 +0530] "GET /Echanneling/uploads/doctor10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2025:10:05:51 +0530] "GET /Echanneling/uploads/doctor11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2025:10:05:54 +0530] "GET /Echanneling/viewAvailability.jsp?doctorId=37 HTTP/1.1" 200 1862
