127.0.0.1 - - [22/May/2025:23:51:42 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:43 +0530] "GET /Echanneling/adminDashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:43 +0530] "GET /Echanneling/login.jsp HTTP/1.1" 200 8389
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:43 +0530] "GET /Echanneling/images/user-r.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:43 +0530] "GET /Echanneling/images/logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:43 +0530] "GET /Echanneling/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:43 +0530] "GET /Echanneling/images/whatsapp-r.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:43 +0530] "GET /Echanneling/images/facebook_logo.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:43 +0530] "GET /Echanneling/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:43 +0530] "GET /Echanneling/images/twitter_l.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:52 +0530] "POST /Echanneling/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:52 +0530] "GET /Echanneling/adminDashboard.jsp HTTP/1.1" 200 5299
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:52 +0530] "GET /Echanneling/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:52 +0530] "GET /Echanneling/images/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/uploads/doctor2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/css/DoctorDetails.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/uploads/doctor8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/uploads/doctor4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/uploads/doctor26.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/GetDoctorServlet HTTP/1.1" 200 64355
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/uploads/doctor1.jpg HTTP/1.1" 200 15948
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/uploads/doctor5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/uploads/doctor12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/uploads/doctor7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:51:54 +0530] "GET /Echanneling/src/images/logo7.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [22/May/2025:23:52:08 +0530] "GET /Echanneling/AddDoctor.jsp HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [22/May/2025:23:52:08 +0530] "GET /Echanneling/js/AddDoctor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:52:08 +0530] "GET /Echanneling/css/AddDoctor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:53:18 +0530] "GET /Echanneling/AddDoctor.jsp HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [22/May/2025:23:53:20 +0530] "GET /Echanneling/GetDoctorServlet?view=profiles HTTP/1.1" 200 17012
0:0:0:0:0:0:0:1 - - [22/May/2025:23:53:20 +0530] "GET /Echanneling/css/DoctorProfiles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:53:37 +0530] "GET /Echanneling/viewAvailability.jsp?doctorId=47 HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [22/May/2025:23:53:37 +0530] "GET /Echanneling/css/viewAvailability.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:23:53:51 +0530] "GET /Echanneling/viewAvailability.jsp?doctorId=47 HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [22/May/2025:23:54:03 +0530] "GET /Echanneling/GetDoctorServlet?view=profiles HTTP/1.1" 200 17012
0:0:0:0:0:0:0:1 - - [22/May/2025:23:54:12 +0530] "GET /Echanneling/viewAvailability.jsp?doctorId=53 HTTP/1.1" 200 7579
